,model,candidate_order,cv_mean_macro_f1,cv_std_macro_f1,cv_folds,fold_1_macro_f1,fold_2_macro_f1,fold_3_macro_f1,fold_4_macro_f1,fold_5_macro_f1
0,Dummy most-frequent,0,0.099005509641873282,0.0003360881542699756,5,0.099173553719008267,0.099173553719008267,0.099173553719008267,0.099173553719008267,0.098333333333333328
1,Logistic regression,1,0.56285978340748954,0.030143934997882448,5,0.60450423848726853,0.57594645413928125,0.56494920411396388,0.51187619001323392,0.55702283028369981
2,Random forest,2,0.6962834528404791,0.0294388211162896,5,0.73750544086869385,0.70691156195937954,0.69249651145556901,0.64625536031626318,0.69824838960249047
